"id","equipo_vhf_id","canal","tipo","created_at"
1,1,CPPL,Main,2026-01-08 16:19:53.020
2,2,CPPL,Standby,2026-01-08 16:19:53.943
3,3,CPPL,Main,2026-01-08 16:19:54.869
4,4,CPPL,Standby,2026-01-08 16:19:55.538
5,5,CAUX I,Main,2026-01-08 16:19:56.170
6,6,CAUX I,Standby,2026-01-08 16:19:56.972
7,7,CAUX I,Main,2026-01-08 16:19:57.757
8,8,CAUX I,Standby,2026-01-08 16:19:58.652
9,9,CAUX II,Main,2026-01-08 16:19:59.573
10,10,CAUX II,Standby,2026-01-08 16:20:00.298
11,11,CAUX II,Main,2026-01-08 16:20:01.310
12,12,CAUX II,Standby,2026-01-08 16:20:02.232
13,13,SMC,Main,2026-01-08 16:20:03.253
14,14,SMC,Standby,2026-01-08 16:20:03.985
15,15,SMC,Main,2026-01-08 16:20:05.005
16,16,SMC,Standby,2026-01-08 16:20:05.704
17,17,EMERG,Main,2026-01-08 16:20:06.354
18,18,EMERG,Standby,2026-01-08 16:20:07.086
19,19,EMERG,Main,2026-01-08 16:20:07.725
20,20,EMERG,Standby,2026-01-08 16:20:08.590
21,21,CLRD,Main,2026-01-08 16:20:09.414
22,22,CLRD,Standby,2026-01-08 16:20:10.218
23,23,CLRD,Main,2026-01-08 16:20:11.032
24,24,CLRD,Standby,2026-01-08 16:20:11.869
25,25,ATIS,Main,2026-01-08 16:20:12.545
26,26,ATIS,Standby,2026-01-08 16:20:13.194
27,27,ATIS,Main,2026-01-08 16:20:13.840
28,28,ATIS,Standby,2026-01-08 16:20:14.527
29,29,CPPL,Main,2026-01-08 16:20:15.338
30,30,CPPL,Standby,2026-01-08 16:20:16.063
31,31,CPPL,Main,2026-01-08 16:20:16.879
32,32,CPPL,Standby,2026-01-08 16:20:17.798
33,33,CAUX,Main,2026-01-08 16:20:18.543
34,34,CAUX,Standby,2026-01-08 16:20:19.547
35,35,CAUX,Main,2026-01-08 16:20:20.463
36,36,CAUX,Standby,2026-01-08 16:20:21.378
37,37,CBA 1,Main,2026-01-08 16:20:22.309
38,38,CBA 1,Standby,2026-01-08 16:20:23.441
39,39,CBA 1,Main,2026-01-08 16:20:24.352
40,40,CBA 1,Standby,2026-01-08 16:20:25.131
41,41,CBA 2,Main,2026-01-08 16:20:25.887
42,42,CBA 2,Standby,2026-01-08 16:20:26.728
43,43,CBA 2,Main,2026-01-08 16:20:27.385
44,44,CBA 2,Standby,2026-01-08 16:20:28.090
45,45,CBA 1,Main,2026-01-08 16:20:28.912
46,46,CBA 1,Standby,2026-01-08 16:20:29.966
47,47,CBA 1,Main,2026-01-08 16:20:31.008
48,48,CBA 1,Standby,2026-01-08 16:20:31.753
49,49,CBA 2,Main,2026-01-08 16:20:32.644
50,50,CBA 2,Standby,2026-01-08 16:20:33.306
51,51,CBA 2,Main,2026-01-08 16:20:34.036
52,52,CBA 2,Standby,2026-01-08 16:20:34.699
53,53,CPPL,Main,2026-01-08 16:20:35.739
54,54,CPPL,Standby,2026-01-08 16:20:36.630
55,55,CAUX,Main,2026-01-08 16:20:37.667
56,56,CAUX,Standby,2026-01-08 16:20:38.515
57,57,SMC,Main,2026-01-08 16:20:39.406
58,58,SMC,Standby,2026-01-08 16:20:40.229
59,59,EMERG,Main,2026-01-08 16:20:41.118
60,60,EMERG,Standby,2026-01-08 16:20:42.323
61,61,ATIS,Main,2026-01-08 16:20:43.090
62,62,ATIS,Standby,2026-01-08 16:20:43.917
63,63,CPPL,Main,2026-01-08 16:20:44.833
64,64,CPPL,Standby,2026-01-08 16:20:45.544
65,65,CAUX,Main,2026-01-08 16:20:46.387
66,66,CAUX,Standby,2026-01-08 16:20:47.244
67,67,TUC 1,Main,2026-01-08 16:20:48.108
68,68,TUC 1,Standby,2026-01-08 16:20:48.868
69,69,TUC 2,Main,2026-01-08 16:20:49.721
70,70,TUC 2,Standby,2026-01-08 16:20:50.525
71,71,CPPL,Main,2026-01-08 16:20:51.492
72,72,CPPL,Standby,2026-01-08 16:20:52.382
73,73,CAUX,Main,2026-01-08 16:20:53.338
74,74,CAUX,Standby,2026-01-08 16:20:54.318
75,75,EMERG,Main,2026-01-08 16:20:55.322
76,76,EMERG,Standby,2026-01-08 16:20:56.212
77,77,TRC 1,Main,2026-01-08 16:20:57.557
78,78,TRC 1,Standby,2026-01-08 16:20:58.448
79,79,TRC 2,Main,2026-01-08 16:20:59.477
80,80,TRC 2,Standby,2026-01-08 16:21:00.305
81,81,CPPL,Main,2026-01-08 16:21:01.950
82,82,CPPL,Standby,2026-01-08 16:21:02.856
83,83,CAUX,Main,2026-01-08 16:21:03.577
84,84,CAUX,Standby,2026-01-08 16:21:04.809
85,85,EMERG,Main,2026-01-08 16:21:06.134
86,86,EMERG,Standby,2026-01-08 16:21:06.858
87,87,CPPL,Main,2026-01-08 16:21:07.837
88,88,CPPL,Standby,2026-01-08 16:21:08.779
89,89,CAUX,Main,2026-01-08 16:21:09.610
90,90,CAUX,Standby,2026-01-08 16:21:10.389
91,91,EMERG,Main,2026-01-08 16:21:11.304
92,92,EMERG,Standby,2026-01-08 16:21:12.083
93,93,CPPL,Main,2026-01-08 16:21:13.409
94,94,CPPL,Standby,2026-01-08 16:21:14.323
95,95,CAUX,Main,2026-01-08 16:21:15.052
96,96,CAUX,Standby,2026-01-08 16:21:15.932
97,97,EMERG,Main,2026-01-08 16:21:16.982
98,98,EMERG,Standby,2026-01-08 16:21:17.735
99,99,CPPL,Main,2026-01-08 16:21:19.134
100,100,CPPL,Standby,2026-01-08 16:21:20.677
101,101,CAUX,Main,2026-01-08 16:21:21.899
102,102,CAUX,Standby,2026-01-08 16:21:22.949
103,103,EMERG,Main,2026-01-08 16:21:25.158
104,104,EMERG,Standby,2026-01-08 16:21:26.160
105,105,CPPL,Main,2026-01-08 16:21:27.566
106,106,CPPL,Standby,2026-01-08 16:21:28.248
107,107,CPPL,Main,2026-01-08 16:21:29.077
108,108,CPPL,Standby,2026-01-08 16:21:29.885
109,109,CAUX,Main,2026-01-08 16:21:30.764
110,110,CAUX,Standby,2026-01-08 16:21:31.543
111,111,CAUX,Main,2026-01-08 16:21:32.247
112,112,CAUX,Standby,2026-01-08 16:21:33.163
113,113,EMERG,Main,2026-01-08 16:21:34.551
114,114,EMERG,Standby,2026-01-08 16:21:35.586
115,115,EMERG,Main,2026-01-08 16:21:36.338
116,116,EMERG,Standby,2026-01-08 16:21:37.076
117,117,CPPL,Main,2026-01-08 16:21:37.903
118,118,CPPL,Standby,2026-01-08 16:21:38.749
119,119,CPPL,Main,2026-01-08 16:21:39.508
120,120,CPPL,Standby,2026-01-08 16:21:40.551
121,121,CAUX,Main,2026-01-08 16:21:41.265
122,122,CAUX,Standby,2026-01-08 16:21:42.292
123,123,CAUX,Main,2026-01-08 16:21:43.719
124,124,CAUX,Standby,2026-01-08 16:21:44.839
125,125,ATIS,Main,2026-01-08 16:21:45.554
126,126,ATIS,Standby,2026-01-08 16:21:46.578
127,127,CPPL,Main,2026-01-08 16:21:47.701
128,128,CPPL,Standby,2026-01-08 16:21:48.622
129,129,CAUX,Main,2026-01-08 16:21:49.465
130,130,CAUX,Standby,2026-01-08 16:21:50.395
131,131,EMERG,Main,2026-01-08 16:21:51.597
132,132,EMERG,Standby,2026-01-08 16:21:52.471
133,133,REP SALTA,Main,2026-01-08 16:21:53.153
134,134,REP SALTA,Standby,2026-01-08 16:21:54.060
135,135,CPPL,Main,2026-01-08 16:21:55.198
136,136,CPPL,Standby,2026-01-08 16:21:56.106
137,137,CPPL,Main,2026-01-08 16:21:56.893
138,138,CPPL,Standby,2026-01-08 16:21:57.723
139,139,CAUX,Main,2026-01-08 16:21:58.579
140,140,CAUX,Standby,2026-01-08 16:21:59.528
141,141,CAUX,Main,2026-01-08 16:22:00.591
142,142,CAUX,Standby,2026-01-08 16:22:01.435
143,143,EMERG,Main,2026-01-08 16:22:02.108
144,144,EMERG,Standby,2026-01-08 16:22:02.967
145,145,EMERG,Main,2026-01-08 16:22:03.694
146,146,EMERG,Standby,2026-01-08 16:22:04.634
147,147,CPPL,Main,2026-01-08 16:22:05.726
148,148,TAR 1,Main,2026-01-08 16:22:07.008
149,149,TAR 1,Standby,2026-01-08 16:22:07.890
150,150,TAR 2,Main,2026-01-08 16:22:09.262
151,151,TAR 2,Standby,2026-01-08 16:22:09.988
152,152,SUS 1,Main,2026-01-08 16:22:11.314
153,153,SUS 1,Standby,2026-01-08 16:22:12.083
154,154,SUS 2,Main,2026-01-08 16:22:12.823
155,155,SUS 2,Standby,2026-01-08 16:22:13.642
156,156,STO 1,Main,2026-01-08 16:22:14.736
157,157,STO 1,Standby,2026-01-08 16:22:15.732
158,158,STO 2,Main,2026-01-08 16:22:16.743
159,159,STO 2,Standby,2026-01-08 16:22:17.545
160,160,MTQ 1,Main,2026-01-08 16:22:18.849
161,161,MTQ 1,Standby,2026-01-08 16:22:20.083
162,162,MTQ 2,Main,2026-01-08 16:22:21.092
163,163,MTQ 2,Standby,2026-01-08 16:22:22.018
164,164,AND 1,Main,2026-01-08 16:22:22.983
165,165,AND 1,Standby,2026-01-08 16:22:23.766
166,166,AND 2,Main,2026-01-08 16:22:24.580
167,167,AND 2,Standby,2026-01-08 16:22:25.597
168,168,ANC 1,Main,2026-01-08 16:22:26.797
169,169,ANC 1,Standby,2026-01-08 16:22:27.642
170,170,ANC 2,Main,2026-01-08 16:22:28.818
171,171,ANC 2,Standby,2026-01-08 16:22:29.793
172,172,FRI 1,Main,2026-01-08 16:22:31.135
173,173,FRI 1,Standby,2026-01-08 16:22:31.853
174,174,FRI 2,Main,2026-01-08 16:22:32.621
175,175,FRI 2,Standby,2026-01-08 16:22:33.555
176,176,ERE 1,Main,2026-01-08 16:22:34.577
177,177,ERE 1,Standby,2026-01-08 16:22:35.332
178,178,ERE 2,Main,2026-01-08 16:22:36.318
179,179,ERE 2,Standby,2026-01-08 16:22:37.216
180,180,LPO 1,Main,2026-01-08 16:22:38.403
181,181,LPO 1,Standby,2026-01-08 16:22:39.214
182,182,LPO 2,Main,2026-01-08 16:22:40.140
183,183,LPO 2,Standby,2026-01-08 16:22:41.080
184,184,MTR 1,Main,2026-01-08 16:22:42.247
185,185,MTR 1,Standby,2026-01-08 16:22:43.120
186,186,MTR 2,Main,2026-01-08 16:22:44.244
187,187,MTR 2,Standby,2026-01-08 16:22:45.162
188,188,MJZ 1,Main,2026-01-08 16:22:46.463
189,189,MJZ 1,Standby,2026-01-08 16:22:47.608
190,190,MJZ 2,Main,2026-01-08 16:22:48.632
191,191,MJZ 2,Standby,2026-01-08 16:22:49.658
192,192,CPPL,Main,2026-01-08 16:22:50.850
193,193,CPPL,Standby,2026-01-08 16:22:51.708
194,194,CPPL,Main,2026-01-08 16:22:52.733
195,195,CPPL,Standby,2026-01-08 16:22:53.790
196,196,CAUX,Main,2026-01-08 16:22:54.679
197,197,CAUX,Standby,2026-01-08 16:22:55.596
198,198,CAUX,Main,2026-01-08 16:22:56.929
199,199,CAUX,Standby,2026-01-08 16:22:57.851
200,200,EMERG,Main,2026-01-08 16:22:59.503
201,201,EMERG,Standby,2026-01-08 16:23:00.406
202,202,CRV 1,Main,2026-01-08 16:23:02.157
203,203,CRV 1,Standby,2026-01-08 16:23:02.967
204,204,CRV 1,Main,2026-01-08 16:23:03.896
205,205,CRV 1,Standby,2026-01-08 16:23:04.731
206,206,CRV 2,Main,2026-01-08 16:23:05.526
207,207,CRV 2,Standby,2026-01-08 16:23:06.331
208,208,CRV 1,Main,2026-01-08 16:23:07.132
209,209,CRV 1,Standby,2026-01-08 16:23:07.985
210,210,CRV 1,Main,2026-01-08 16:23:08.789
211,211,CRV 1,Standby,2026-01-08 16:23:09.623
212,212,CRV 2,Main,2026-01-08 16:23:10.453
213,213,CRV 2,Standby,2026-01-08 16:23:11.240
214,214,CPPL,Main,2026-01-08 16:23:12.356
215,215,CPPL,Standby,2026-01-08 16:23:13.217
216,216,CAUX,Main,2026-01-08 16:23:14.137
217,217,CAUX,Standby,2026-01-08 16:23:15.061
218,218,EMERG,Main,2026-01-08 16:23:15.772
219,219,EMERG,Standby,2026-01-08 16:23:16.964
220,220,PMY 1,Main,2026-01-08 16:23:17.718
221,221,PMY 1,Standby,2026-01-08 16:23:18.634
222,222,PMY 2,Main,2026-01-08 16:23:19.453
223,223,PMY 2,Standby,2026-01-08 16:23:20.233
224,224,CPPL,Main,2026-01-08 16:23:21.291
225,225,CPPL,Standby,2026-01-08 16:23:22.289
226,226,CPPL,Main,2026-01-08 16:23:23.151
227,227,CPPL,Standby,2026-01-08 16:23:24.380
228,228,CAUX,Main,2026-01-08 16:23:25.205
229,229,CAUX,Standby,2026-01-08 16:23:26.007
230,230,CAUX,Main,2026-01-08 16:23:26.793
231,231,CAUX,Standby,2026-01-08 16:23:27.618
232,232,EMERG,Main,2026-01-08 16:23:28.700
233,233,EMERG,Standby,2026-01-08 16:23:29.596
234,234,ESQ 1,Main,2026-01-08 16:23:30.399
235,235,ESQ 1,Standby,2026-01-08 16:23:31.232
236,236,ESQ 1,Main,2026-01-08 16:23:32.052
237,237,ESQ 1,Standby,2026-01-08 16:23:32.825
238,238,ESQ 2,Main,2026-01-08 16:23:33.503
239,239,ESQ 2,Standby,2026-01-08 16:23:34.220
240,240,CPPL,Main,2026-01-08 16:23:35.431
241,241,CPPL,Standby,2026-01-08 16:23:36.262
242,242,CAUX,Main,2026-01-08 16:23:37.207
243,243,CAUX,Standby,2026-01-08 16:23:37.989
244,244,EMERG,Main,2026-01-08 16:23:39.014
245,245,EMERG,Standby,2026-01-08 16:23:39.846
246,246,ATIS,Main,2026-01-08 16:23:40.754
247,247,ATIS,Standby,2026-01-08 16:23:41.681
248,248,ECA 1,Main,2026-01-08 16:23:42.433
