"id","nombre","tipo","ident","aeropuerto_id","fir_id","puesto_id","created_at","updated_at","anio_instalacion","asociado_a","ayuda","estacion","fir","frecuencia","latitud","longitud","modelo","monitor_torre","oaci","siglas_local"
232,AEROPARQUE,DME,,,,,2026-01-09 14:52:03.343,2026-01-09 14:52:03.343,"2021",ILS,DME,ILS ( GP - DME ),EZE,"32 X",-34.55888889,-58.41638889,INDRA LDB - 103,true,SABE,AER
233,AEROPARQUE,LI / LO / NDB,,,,,2026-01-09 14:52:03.882,2026-01-09 14:52:03.882,"2005",P,LI,LI,EZE,"280 Khz",-34.55888889,-58.41638889,SAC 100,false,SABE,AER
234,AEROPARQUE,LI / LO / NDB,,,,,2026-01-09 14:52:04.189,2026-01-09 14:52:04.189,"2003",N,LI,LI,EZE,"375 Khz",-34.55888889,-58.41638889,MAURO RB101,false,SABE,AER
235,AEROPARQUE,ILS,,,,,2026-01-09 14:52:04.486,2026-01-09 14:52:04.486,"2021",ILS,GP,ILS ( GP - DME ),EZE,"109.5 Mhz",-34.55888889,-58.41638889,NORMARC 7000,true,SABE,AER
236,BAHIA BLANCA,DME,,,,,2026-01-09 14:52:04.783,2026-01-09 14:52:04.783,"2016",ILS,DME,ILS ( GP - DME ),EZE,"34 X",-38.7275,-62.15333333,INDRA LDB - 103,true,SAZB,BCA
237,BAHIA BLANCA,DME,,,,,2026-01-09 14:52:05.233,2026-01-09 14:52:05.233,"2004",VOR,DME,VOR/DME,EZE,"90 X",-38.7275,-62.15333333,THALES 435,true,SAZB,BCA
238,BAHIA BLANCA,ILS,,,,,2026-01-09 14:52:05.516,2026-01-09 14:52:05.516,"2016",ILS,GP,ILS ( GP - DME ),EZE,"109.7 Mhz",-38.7275,-62.15333333,NORMARC 7000,true,SAZB,BCA
239,BAHIA BLANCA,VOR / DVOR,,,,,2026-01-09 14:52:05.774,2026-01-09 14:52:05.774,"2004",DME,VOR,VOR/DME,EZE,"114.3 Mhz",-38.7275,-62.15333333,THALES 431,true,SAZB,BCA
240,BARILOCHE,ILS,,,,,2026-01-09 14:52:06.138,2026-01-09 14:52:06.138,"2022",ILS,GP,ILS ( GP - DME ),EZE,"109.5 Mhz",-41.15111111,-71.15777778,NORMARC 7000,true,SAZS,BAR
241,BARILOCHE,DME,,,,,2026-01-09 14:52:06.420,2026-01-09 14:52:06.420,"2022",ILS,DME,ILS ( GP - DME ),EZE,"32 X",-41.15111111,-71.15777778,INDRA LDB - 103,true,SAZS,BAR
242,BARILOCHE,DME,,,,,2026-01-09 14:52:06.719,2026-01-09 14:52:06.719,"2020",VOR,DME,VOR/DME,EZE,"121 X",-41.15111111,-71.15777778,SELEX 1119A,true,SAZS,BAR
243,BARILOCHE,VOR / DVOR,,,,,2026-01-09 14:52:07.030,2026-01-09 14:52:07.030,"2020",DME,VOR,VOR/DME,EZE,"117.4 Mhz",-41.15111111,-71.15777778,SELEX 1150A,true,SAZS,BAR
244,CATAMARCA,DME,,,,,2026-01-09 14:52:07.344,2026-01-09 14:52:07.344,"2015",VOR,DME,VOR/DME,CBA,"90 X",-2859305556,-65.75111111,THALES 435,true,SANC,CAT
245,CATAMARCA,VOR / DVOR,,,,,2026-01-09 14:52:07.763,2026-01-09 14:52:07.763,"2015",DME,VOR,VOR/DME,CBA,"114.3 Mhz",-28.59305556,-65.75111111,THALES 431,true,SANC,CAT
246,CERES,DME,,,,,2026-01-09 14:52:08.051,2026-01-09 14:52:08.051,"1999",VOR,DME,VOR/DME,CBA,"102 X",-29.87161,-61.92696,ALCATEL FSD-45,true,SANW,ERE
247,CERES,VOR / DVOR,,,,,2026-01-09 14:52:08.281,2026-01-09 14:52:08.281,"1991",DME,VOR,VOR/DME,CBA,"115.5 Mhz",-29.87161,-61.92696,SEL 4000,true,SANW,ERE
248,CHAPELCO,DME,,,,,2026-01-09 14:52:08.529,2026-01-09 14:52:08.529,"1996",VOR,DME,VOR/DME,EZE,"117 X",-40.07527778,-71.13722222,WILCOX 596,true,SAZY,CHP
249,CHAPELCO,VOR / DVOR,,,,,2026-01-09 14:52:08.780,2026-01-09 14:52:08.780,"1997",DME,VOR,VOR/DME,EZE,"117.0 Mhz",-40.07527778,-71.13722222,WILCOX 585,true,SAZY,CHP
250,CHOELE CHOEL,DME,,,,,2026-01-09 14:52:09.068,2026-01-09 14:52:09.068,"1998",VOR,DME,VOR/DME,EZE,"81 X",-39.28638889,-65.61,ALCATEL FSD-45,false,,OEL
251,CHOELE CHOEL,VOR / DVOR,,,,,2026-01-09 14:52:09.381,2026-01-09 14:52:09.381,"1998",DME,VOR,VOR/DME,EZE,"113.4 Mhz",-39.28638889,-65.61,ALCATEL SN 431,false,,OEL
252,COM. RIVADAVIA,DME,,,,,2026-01-09 14:52:09.715,2026-01-09 14:52:09.715,"2004",ILS,DME,ILS ( GP - DME ),CRV,"40 X",-45.78527778,-67.46555556,FERNAU 2020,true,SAVC,CRV
253,COM. RIVADAVIA,DME,,,,,2026-01-09 14:52:09.932,2026-01-09 14:52:09.932,"1998",VOR,DME,VOR/DME,CRV,"122 X",-45.78527778,-67.46555556,ALCATEL FSD-45,true,SAVC,CRV
254,COM. RIVADAVIA,VOR / DVOR,,,,,2026-01-09 14:52:10.153,2026-01-09 14:52:10.153,"1998",DME,VOR,VOR/DME,CRV,"117.5 Mhz",-45.78527778,-67.46555556,ALCATEL SN 431,true,SAVC,CRV
