"id","nombre","tipo","marca","modelo","numero_serie","aeropuerto_id","created_at","estado","activo_fijo","fir_id","grupo","id_ap_sig","oaci","observaciones","potencia","referencia","siglas_local","sistema"
232,EATON,Elemento,EATON,PW 9130i3000T-XL,,66,2026-01-12 23:25:20.987,OK,,4,UPS,,SADF,,,SAN FERNANDO,SDO,
233,UPS - CBA,Elemento,EATON,"9355-40-N-0-MBS","2H511KXX23",5,2026-01-12 23:25:21.244,OK,,1,UPS,"7",SACO,,"40",Córdoba,CBA,ILUMINACIÓN TWR CBA
234,UPS - CRV,Elemento,EATON ,"9PX5Ki",G202F10005,22,2026-01-12 23:25:21.607,OK,"12762 ",2,UPS,,SAVC,"3 EBM","5",Comodoro Rivadavia,CRV,VCS
235,GEL - CRV,Elemento,DEUTZ (GEN B),DA80 / 272Q,"6578343",22,2026-01-12 23:25:21.891,OK,"12894",2,GEL,,SAVC,S/D,"80",Comodoro Rivadavia,CRV,EAVA VCS AIRCOM GP/DME COM ACC CNSE
236,GEL - CRV,Elemento,DEUTZ,PD30,"27952",22,2026-01-12 23:25:22.126,OK,"22304",2,GEL,,SAVC,S/D,"25",Comodoro Rivadavia,CRV,VOR
237,UPS - ESQ,Elemento,EATON,"9PX11kiPM",G209P28004,24,2026-01-12 23:25:22.400,OK,-,2,UPS,,SAVE,INSTALADA EL 29/07/2025 - CONTIENE 2 BANCOS DE BATERÍA EXTERNOS,"11",Esquel,ESQ,RADAR
238,UPS - ,Elemento,EATON,"9PX 5000i RTN",G202D51095,14,2026-01-12 23:25:22.729,OK,"13671",1,UPS,,SASA,SE DEBE REALIZAR UNA READECUACION DE LA ARQUITECTURA ELÉCTRICA DENTRO DE TABLERO SECCIONAL DE LA SALA TÉCNICA.,"5",Salta,"",TSG BT UPS - FLP - PUPITRE TWR - ST COM
239,UPS - EZE,Elemento,EATON,"9PX5ki",G202F50020,49,2026-01-12 23:25:23.118,OK,,4,UPS,"11",SAEZ,,"5",EZEIZA,EZE,COMUNICACIONES VOICE SWITCHING
240,UPS - AEP,Elemento,EATON,"93 E","4K465LAA05",42,2026-01-12 23:25:23.409,OK,No posee,4,UPS,,SABE,No posee etiqueta,"100",Aeroparque,AEP,PISO 10 - OPERATIVO 1
241,UPS - ESQ,Elemento,EATON,"93PS-20(20)-20-0-MBS-6",HPO00017701,24,2026-01-12 23:25:23.726,OK,-,2,UPS,,SAVE,INSTALADA EL 29/07/2025,"20",Esquel,ESQ,-
