"id","vhf_id","tipo_equipo","marca","modelo","numero_serie","tecnologia","activo_fijo","estado","created_at"
1,1,Main,R&S,SU4200,"107082",IP,S/ACTIVO,OK,2026-01-08 16:19:52.614
2,1,Standby,R&S,SU4200,"107117",IP,S/ACTIVO,OK,2026-01-08 16:19:53.638
3,1,Main,R&S,EU200,"100747",Analógico,S/ACTIVO,OK,2026-01-08 16:19:54.570
4,1,Standby,R&S,EU200,"100746",Analógico,S/ACTIVO,OK,2026-01-08 16:19:55.308
5,1,Main,R&S,SU4200,"107085",IP,S/ACTIVO,OK,2026-01-08 16:19:55.960
6,1,Standby,R&S,SU4200,"107102",IP,S/ACTIVO,OK,2026-01-08 16:19:56.753
7,1,Main,R&S,EU200,"100748",Analógico,S/ACTIVO,OK,2026-01-08 16:19:57.526
8,1,Standby,R&S,EU200,"100749",Analógico,S/ACTIVO,OK,2026-01-08 16:19:58.346
9,1,Main,R&S,SU200,"100636",Analógico,"19866",OK,2026-01-08 16:19:59.270
10,1,Standby,R&S,SU200,"100638",Analógico,"19867",OK,2026-01-08 16:20:00.007
11,1,Main,R&S,EU200,"100757",Analógico,S/ACTIVO,OK,2026-01-08 16:20:01.009
12,1,Standby,R&S,EU200,"100754",Analógico,S/ACTIVO,OK,2026-01-08 16:20:01.973
13,1,Main,R&S,SU200,"100621",Analógico,"19870",OK,2026-01-08 16:20:02.924
14,1,Standby,R&S,SU200,"100622",Analógico,"19871",OK,2026-01-08 16:20:03.770
15,1,Main,R&S,EU200,"100750",Analógico,S/ACTIVO,OK,2026-01-08 16:20:04.708
16,1,Standby,R&S,EU200,"100751",Analógico,S/ACTIVO,OK,2026-01-08 16:20:05.491
17,1,Main,R&S,SU200,"100627",Analógico,"19859",OK,2026-01-08 16:20:06.147
18,1,Standby,R&S,SU200,"100618",Analógico,"19860",OK,2026-01-08 16:20:06.805
19,1,Main,R&S,EU200,"100744",Analógico,S/ACTIVO,OK,2026-01-08 16:20:07.516
20,1,Standby,R&S,EU200,"100745",Analógico,S/ACTIVO,OK,2026-01-08 16:20:08.382
21,1,Main,R&S,SU200,"100624",Analógico,"19857",OK,2026-01-08 16:20:09.198
22,1,Standby,R&S,SU200,"100630",Analógico,"19858",OK,2026-01-08 16:20:09.935
23,1,Main,R&S,EU200,"100752",Analógico,S/ACTIVO,OK,2026-01-08 16:20:10.636
24,1,Standby,R&S,EU200,"100753",Analógico,S/ACTIVO,OK,2026-01-08 16:20:11.661
25,1,Main,R&S,SU200,"100619",Analógico,"19861",OK,2026-01-08 16:20:12.315
26,1,Standby,Sin Equipo,Sin Equipo,S/N,,,OK,2026-01-08 16:20:12.974
27,1,Main,R&S,EU200,"100755",Analógico,S/ACTIVO,OK,2026-01-08 16:20:13.634
28,1,Standby,Sin Equipo,Sin Equipo,S/N,,,OK,2026-01-08 16:20:14.315
29,1,Main,R&S,SU4200,"107071",IP,S/ACTIVO,OK,2026-01-08 16:20:15.030
30,1,Standby,R&S,SU4200,"107118",IP,S/ACTIVO,OK,2026-01-08 16:20:15.801
31,1,Main,R&S,EU200,"100742",Analógico,S/ACTIVO,OK,2026-01-08 16:20:16.648
32,1,Standby,R&S,EU200,"100743",Analógico,S/ACTIVO,OK,2026-01-08 16:20:17.498
33,1,Main,R&S,SU200,"100606",Analógico,"19869",OK,2026-01-08 16:20:18.314
34,1,Standby,R&S,SU200,"100612",Analógico,"19884",OK,2026-01-08 16:20:19.230
35,1,Main,R&S,EU200,"100741",Analógico,S/ACTIVO,OK,2026-01-08 16:20:20.152
36,1,Standby,R&S,EU200,"100740",Analógico,S/ACTIVO,OK,2026-01-08 16:20:20.982
37,1,Main,R&S,SU200,"100615",Analógico,"19864",OK,2026-01-08 16:20:22.103
38,1,Standby,R&S,SU200,"100610",Analógico,"19865",OK,2026-01-08 16:20:23.142
39,1,Main,R&S,EU200,"100728",Analógico,S/ACTIVO,OK,2026-01-08 16:20:24.039
40,1,Standby,R&S,EU200,"100729",Analógico,S/ACTIVO,OK,2026-01-08 16:20:24.879
41,1,Main,R&S,SU4200,"107099",IP,S/ACTIVO,OK,2026-01-08 16:20:25.664
42,1,Standby,R&S,SU4200,"107099",IP,S/ACTIVO,OK,2026-01-08 16:20:26.404
43,1,Main,R&S,EU200,"100735",Analógico,S/ACTIVO,OK,2026-01-08 16:20:27.174
44,1,Standby,R&S,EU200,"100734",Analógico,S/ACTIVO,OK,2026-01-08 16:20:27.855
45,1,Main,R&S,SU200,"100616",Analógico,"19881",OK,2026-01-08 16:20:28.691
46,1,Standby,R&S,SU200,"100614",Analógico,"19882",OK,2026-01-08 16:20:29.685
47,1,Main,R&S,EU200,"100730",Analógico,S/ACTIVO,OK,2026-01-08 16:20:30.699
48,1,Standby,R&S,EU200,"100731",Analógico,S/ACTIVO,OK,2026-01-08 16:20:31.517
49,1,Main,R&S,SU4200,"107089",IP,S/ACTIVO,OK,2026-01-08 16:20:32.318
50,1,Standby,R&S,SU4200,"107096",IP,S/ACTIVO,OK,2026-01-08 16:20:33.089
51,1,Main,R&S,EU200,"100738",Analógico,S/ACTIVO,OK,2026-01-08 16:20:33.817
52,1,Standby,R&S,EU200,"100739",Analógico,S/ACTIVO,OK,2026-01-08 16:20:34.474
53,2,Main,R&S,XU4200,"103184",Analógico,"13554",OK,2026-01-08 16:20:35.525
54,2,Standby,Sin Equipo,Sin Equipo,S/N,,,OK,2026-01-08 16:20:36.396
55,2,Main,R&S,XU4200,"103183",Analógico,"13553",OK,2026-01-08 16:20:37.263
56,2,Standby,Sin Equipo,Sin Equipo,S/N,,,OK,2026-01-08 16:20:38.275
57,2,Main,R&S,XU4200,"103186",Analógico,"13556",OK,2026-01-08 16:20:39.055
58,2,Standby,Sin Equipo,Sin Equipo,S/N,,,OK,2026-01-08 16:20:39.880
59,2,Main,R&S,XU4200,"103182",Analógico,"13557",OK,2026-01-08 16:20:40.907
60,2,Standby,Sin Equipo,Sin Equipo,S/N,,,OK,2026-01-08 16:20:42.034
61,2,Main,R&S,XU4200,"103194",Analógico,"13558",OK,2026-01-08 16:20:42.852
62,2,Standby,Sin Equipo,Sin Equipo,S/N,,,OK,2026-01-08 16:20:43.705
63,2,Main,R&S,XU4200,"103185",Analógico,"13555",OK,2026-01-08 16:20:44.525
64,2,Standby,Sin Equipo,Sin Equipo,S/N,,,OK,2026-01-08 16:20:45.270
65,2,Main,R&S,XU4200,"103187",Analógico,"13552",OK,2026-01-08 16:20:46.157
66,2,Standby,Sin Equipo,Sin Equipo,S/N,,,OK,2026-01-08 16:20:46.893
67,2,Main,R&S,"5200VX","100517",IP,"30829",OK,2026-01-08 16:20:47.809
68,2,Standby,Sin Equipo,Sin Equipo,S/N,,,OK,2026-01-08 16:20:48.627
69,2,Main,R&S,XU4200,"103103",IP,,OK,2026-01-08 16:20:49.444
70,2,Standby,R&S,XU4200,"103113",IP,,OK,2026-01-08 16:20:50.288
71,3,Main,R&S,XU4200,"102840",Analógico,"24192",OK,2026-01-08 16:20:51.268
72,3,Standby,Sin Equipo,Sin Equipo,S/N,,,OK,2026-01-08 16:20:52.105
73,3,Main,R&S,XU4200,"102831",Analógico,"24193",OK,2026-01-08 16:20:52.943
74,3,Standby,Sin Equipo,Sin Equipo,S/N,,,OK,2026-01-08 16:20:53.875
75,3,Main,Becker,TG-264,"697",Analógico,S/ACTIVO,OK,2026-01-08 16:20:54.926
76,3,Standby,Sin Equipo,Sin Equipo,S/N,,,OK,2026-01-08 16:20:55.836
77,3,Main,R&S,XU251,"849216/047",Analógico,,OK,2026-01-08 16:20:57.264
78,3,Standby,R&S,XU251,"849216/075",Analógico,,OK,2026-01-08 16:20:58.136
79,3,Main,R&S,XU4200,"103136",IP,,OK,2026-01-08 16:20:59.210
80,3,Standby,R&S,XU4200,"103135",IP,,OK,2026-01-08 16:20:59.896
81,4,Main,R&S,XU4200,"100207",Analógico,"13957",OK,2026-01-08 16:21:01.695
82,4,Standby,Sin Equipo,Sin Equipo,S/N,,,OK,2026-01-08 16:21:02.559
83,4,Main,R&S,XU4200,"100211",Analógico,"13958",OK,2026-01-08 16:21:03.302
